Species,Species_Syn,Protected,Endemic,Migratory,End_Islands,Notes
Calidris pugnax,NA,NA,NA,Y,NA,NA
Calidris ruficollis,NA,NA,NA,Y,NA,NA
Calidris subminuta,NA,NA,NA,Y,NA,NA
Calidris temminckii,NA,NA,NA,Y,NA,NA
Calidris tenuirostris,NA,NA,NA,Y,NA,NA
Caloenas nicobarica,NA,Y,NA,NA,NA,NA
Calonectris leucomelas,NA,Y,NA,Y,NA,NA
Caloramphus hayii,NA,Y,NA,NA,NA,NA
Calorhamphus fuliginosus,NA,Y,NA,NA,NA,tidak ada di IUCN
Camptostemon philippinense,NA,Y,NA,NA,NA,di IUCN namanya Camptostemon philippinensis
Capricornis sumatraensis,NA,Y,NA,NA,NA,NA
Caprimulgus celebensis,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22689937/93253421
Caprimulgus concretus,NA,Y,NA,NA,NA,NA
Caprimulgus jotaka,NA,NA,NA,Y,NA,NA
Caprimulgus meesi,NA,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22732941/95052248
Caprimulgus pulchellus,NA,NA,Y,NA,SUMATERA & JAWA,"Caprimulgus pulchellus is restricted to Sumatra (South Barisan Mountains) and Java, Indonesia (BirdLife International 2001). Surveys in Java reported the species to be uncommon (1-3 individuals observed per day) at Gunung Salak and Gunung Slamet (Mittermeier et al. 2014). It is likely to be moderately secure in small numbers at higher elevations, but losing habitat and populations at lower levels where encroachment is occurring."
Carcinoscorpius rotundicauda,NA,Y,NA,NA,NA,NA
Caretta caretta,NA,Y,NA,Y,NA,NA
Carettochelys insculpta,NA,Y,NA,Y,NA,NA
Caridonax fulgidus,NA,Y,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22683512/92988527
Carpococcyx viridis,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22724459/112393882
Carterornis pileatus,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22707255/94113700
Caryota no,NA,Y,NA,NA,NA,NA
Cassis cornuta,NA,Y,NA,NA,NA,tidak ada di IUCN
Castanopsis argentea,NA,Y,NA,NA,SUMATERA & JAWA,"This species is native to Indonesia where it is present on the islands of Sumatra and Java. The species is found in many more localities in Java compared to Sumatra (Soepadmo 1972, Abdulhadi <em>et al. </em>1998). Presence in Kalimantan has been noted but there is no herbarium record (K. Kartawinata pers. comm. 2017). It is found from 150 to 1,400 m asl (Soepadmo 1972)."
Casuarius bennetti,NA,Y,NA,NA,NA,NA
Casuarius casuarius,NA,Y,NA,NA,NA,NA
Casuarius unappendiculatus,NA,Y,NA,NA,NA,NA
Cataponera turdoides,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22708538/94163855
Catharacta maccormicki,NA,Y,NA,NA,NA,NA
Catopuma badia,NA,Y,NA,NA,NA,NA
Catopuma temminckii,NA,Y,NA,NA,NA,NA
