Species,Protected,Endemic,Migratory
Hylocitrea bonthaina,,Y,
Hypotaenidia philippensis,,,Y
Hypothymis azurea,,,Y
Hypothymis puella,,Y,Y
Hypsipetes affinis,,Y,
Hypsipetes aureus,,Y,
Hypsipetes chloris,,Y,
Hypsipetes harterti,,Y,
Hypsipetes longirostris,,Y,
Hypsipetes lucasi,,Y,
Hypsipetes mysticalis,,Y,
Hypsipetes platenae,,Y,
Hystrix javanica,Y,,
Ichthyophaga humilis,Y,,
Ichthyophaga ichthyaetus,Y,,
Ictinaetus malaiensis,Y,,
Indicator archipelagicus,Y,,
Indopacetus pacificus,Y,,
Iomys horsfieldi,Y,,
Ixobrychus cinnamomeus,,,Y
Ixobrychus dubius,,,Y
Ixobrychus eurhythmus,Y,,Y
Ixobrychus flavicollis,Y,,Y
Ixobrychus sinensis,,,Y
Ixos sumatranus,,Y,
Ixos virescens,,Y,
Johannesteijsmannia altifrons,Y,,
Kogia breviceps,Y,,
Kogia sima,Y,,
Lagenodelphis hosei,Y,,
Lalage aurea,,Y,
Lalage leucopygialis,,Y,
Lalage moesta,,Y,
Laniellus albonotatus,Y,Y,
Lanius cristatus,,,Y
Lanius schach,,,Y
Lanius tigrinus,,,Y
Lanthanotus borneensis,Y,,
Lariscus hosei,Y,,
Larus brunnicephalus,Y,,Y
Larus fuscus,Y,,
Larus novaehollandiae,Y,,
Larus ridibundus,Y,,Y
Larus schistisagus,Y,,
Larvivora cyane,,,Y
Latimeria menadoensis,Y,,
Leiothrix laurinae,Y,Y,
Lepidochelys olivacea,Y,,
Leptophryne cruentata,Y,,
Leptoptilos javanicus,Y,,Y
Leucopsar rothschildi,,Y,
Leucopsar rothschildii,Y,,
Lichmera argentauris,,Y,
Lichmera monticola,,Y,
Lichmera notabilis,,Y,
Lichmera squamata,,Y,
Limnodromus scolopaceus,Y,,
Limnodromus semipalmatus,Y,,Y
Limosa lapponica,,,Y
Limosa limosa,,,Y
Loboparadisea sericea,Y,,
Locustella castanea,,Y,
Locustella lanceolata,,,Y
Locustella montis,,Y,
Lonchura ferruginosa,,Y,
Lonchura oryzivora,Y,Y,
Lonchura vana,Y,Y,
Lophorina magnifica,Y,,
Lophorina superba,Y,Y,
Lophotriorchis kienerii,Y,,
Lophura bulweri,Y,,
Loriculus amabilis,Y,Y,
Loriculus aurantiifrons,Y,,
Loriculus catamene,Y,Y,
Loriculus exilis,Y,Y,
Loriculus flosculus,Y,Y,
Loriculus galgulus,Y,,
Loriculus pusillus,Y,Y,
Loriculus sclateri,Y,Y,
Loriculus stigmatus,Y,Y,Y
Lorius domicella,Y,Y,
Lorius garrulus,Y,Y,
Lorius lory,Y,,
Lutra lutra,Y,,
Lutra sumatrana,Y,,
Lutrogale perspicillata,Y,,
Lycocorax obiensis,Y,Y,
Lycocorax pyrrhopterus,Y,Y,
Macaca maura,Y,,
Macaca nigra,Y,,
Macaca ochreata,Y,,
Macaca pagensis,Y,,
Macaca tonkeana,Y,,
Macgregoria pulchra,Y,,
Macheiramphus alcinus,Y,,
Macrocephalon maleo,Y,Y,
Macrogalidia musschenbroekii,Y,,
Macropygia macassariensis,,Y,
Macropygia timorlaoensis,,Y,
Macropygia unchall,,,Y
Malacocincla perspicillata,,Y,
Malayophython timoriensis,Y,,
Malia grata,,Y,
Manis javanica,Y,,
Manouria emys,Y,,
Manucodia ater,Y,,
Manucodia chalybatus,Y,,
Manucodia jobiensis,Y,,
Mareca penelope,,,Y
Megacrex inepta,Y,,
Megaloprepia formosa,,Y,
Megapodius bernsteinii,Y,Y,
Megapodius cumingii,Y,,
Megapodius decollatus,Y,,
Megapodius forstenii,Y,,
Megapodius freycinet,Y,Y,
Megapodius geelvinkianus,Y,Y,
Megapodius reinwardt,Y,,
Megapodius tenimberensis,Y,Y,
Megaptera novaeangliae,Y,,
Megatriorchis doriae,Y,,
Meiglyptes tristis,,Y,
Melipotes carolae,Y,Y,
Melipotes fumigatus,Y,,
Melipotes gymnops,Y,Y,
Meropogon forsteni,Y,Y,
Merops leschenaulti,,,Y
Merops ornatus,,,Y
Merops philippinus,,,Y
Merops viridis,,,Y
Mesoplodon densirostris,Y,,
Mesoplodon ginkgodens,Y,,
Microeca hemixantha,,Y,
Microhierax fringillarius,Y,,
