,Species,Species_Syn,Protected,Endemic,Migratory,End_Islands,Notes
407,Eos bornea,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22684509/131914146
408,Eos cyanogenia,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22684519/210329026
409,Eos histrio,NA,Y,Y,NA,SULAWESI (PULAU KARAKELONG),"Eos histrio is now confined to the Talaud Islands (almost exclusively on Karakelang) off northern Sulawesi, Indonesia (BirdLife International 2001). Although it was previously abundant, the species has declined and the population on Karakelang was estimated at 8,230-21,400 birds in 1999 (Riley 2003). The nominate subspecies, known from the Sangihe Islands, is probably now extinct."
410,Eos reticulata,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22684515/152066747
411,Eos semilarvata,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22684524/156213405
412,Eos squamata,NA,Y,Y,NA,MALUKU,iucnredlist.org/species/22684506/93033311
413,Ephippiorhynchus asiaticus,NA,Y,NA,NA,NA,NA
414,Epimachus fastosus,NA,Y,NA,NA,NA,NA
415,Epimachus meyeri,NA,Y,NA,NA,NA,NA
416,Eretmochelys imbricata,NA,Y,NA,NA,NA,NA
417,Erythrogonys cinctus,NA,Y,NA,NA,NA,NA
418,Erythropitta arquata,NA,Y,NA,NA,NA,NA
419,Erythropitta caeruleitorques,NA,Y,Y,NA,SULAWESI (KEPULAUAN SANGIHE),"Erythropitta caeruleitorques is restricted to Sangihe  Besar, Sangihe, Indonesia, where it is common in a restricted area on  the western slopes of Gunung Awu, and present at low density around the  Sahendaruman crater in the south of the island (Riley 1997, R. Martin in litt. 2016)."
420,Erythropitta celebensis,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/103656387/112305477
421,Erythropitta dohertyi,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22698656/93695647
422,Erythropitta granatina,NA,Y,NA,NA,NA,NA
423,Erythropitta inspeculata,NA,Y,Y,NA,SULAWESI (PULAU KARAKELONG),https://www.iucnredlist.org/species/103656357/104023990
424,Erythropitta macklotii,NA,Y,NA,NA,NA,NA
425,Erythropitta palliceps,NA,Y,Y,NA,SULAWESI,"Erythropitta palliceps is found on the islands of Siau, Tagulandang and Ruang, Indonesia (del Hoyo et al. 2003, J. Kelly in litt. 2016). It is frequently encountered in secondary forest on Tagulandang, but is apparently scarcer on Siau (J. Kelly in litt. 2016)."
426,Erythropitta rubrinucha,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/103656434/112306962
427,Erythropitta rufiventris,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/103656402/112305815
428,Erythropitta venusta,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22698667/93696083
429,Erythrotriorchis buergersi,NA,Y,NA,NA,NA,NA
430,Esacus magnirostris,NA,Y,NA,NA,NA,NA
431,Eudynamys orientalis,NA,NA,NA,Y,NA,NA
432,Eudynamys scolopaceus,NA,NA,NA,Y,NA,NA
433,Eulabeornis castaneoventris,NA,Y,NA,NA,NA,NA
434,Eulipoa wallacei,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22678632/195133155
435,Eumyias additus,NA,NA,Y,NA,MALUKU (PULAU BURU),"Rhinomyias addita is restricted to Buru, Indonesia, where it is a relatively widespread and common upland species. Threats to the species are not severe, but it is restricted to a small range."
436,Eumyias indigo,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/103758482/111161656
437,Eumyias thalassinus,NA,NA,NA,Y,NA,NA
438,Eurostopodus argus,NA,NA,NA,Y,NA,NA
439,Eurostopodus diabolicus,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22689670/110061123
440,Eurycoma apiculata,NA,Y,NA,NA,NA,NA
441,Eurylaimus javanicus,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/103656944/104031815
442,Eurystomus orientalis,NA,NA,NA,Y,NA,NA
443,Eutrichomyias rowleyi,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22707085/134416536
444,Falco berigora,NA,Y,NA,NA,NA,NA
445,Falco cenchroides,NA,Y,NA,NA,NA,NA
446,Falco longipennis,NA,Y,NA,NA,NA,NA
447,Falco moluccensis,NA,Y,NA,NA,NA,NA
448,Falco peregrinus,NA,Y,NA,Y,NA,NA
449,Falco severus,NA,Y,NA,Y,NA,NA
450,Falco subbuteo,NA,Y,NA,NA,NA,NA
451,Falco tinnunculus,NA,Y,NA,NA,NA,NA
452,Feresa attenuata,NA,Y,NA,NA,NA,NA
453,Ficedula bonthaina,NA,NA,Y,NA,SULAWESI SELATAN,https://www.iucnredlist.org/species/22709399/110060066
454,Ficedula buruensis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22709370/94205428
455,Ficedula henrici,NA,NA,Y,NA,MALUKU (PULAU DAMAR),"Ficedula henrici is endemic to the small island of Damar (total area 200 km2) in the Banda Sea, eastern Nusa Tenggara, Indonesia."
456,Ficedula mugimaki,NA,NA,NA,Y,NA,NA
457,Ficedula narcissina,NA,NA,NA,Y,NA,NA
458,Ficedula riedeli,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/103771748/132043933
459,Ficedula rufigula,NA,NA,Y,NA,SULAWESI,"Ficedula rufigula is restricted to Sulawesi (although it is absent on the east peninsula), Indonesia, where it is locally common and widespread."
460,Ficedula zanthopygia,NA,NA,NA,Y,NA,NA
461,Fregata andrewsi,NA,Y,NA,Y,NA,NA
462,Fregata minor,NA,Y,NA,NA,NA,NA
463,Fulica atra,NA,NA,NA,Y,NA,NA
464,Gallicolumba hoedtii,NA,Y,NA,NA,NA,NA
465,Gallicrex cinerea,NA,NA,NA,Y,NA,NA
466,Gallinago gallinago,NA,NA,NA,Y,NA,NA
467,Gallinago hardwickii,NA,NA,NA,Y,NA,NA
468,Gallinago megala,NA,NA,NA,Y,NA,NA
469,Gallinago stenura,NA,NA,NA,Y,NA,NA
470,Gallinula chloropus,NA,NA,NA,Y,NA,NA
471,Garrulax bicolor,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22734448/177430305
472,Garrulax leucolophus,NA,Y,NA,NA,NA,NA
473,Garrulax rufifrons,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22715592/128044399
474,Gelochelidon macrotarsa,NA,NA,NA,Y,NA,NA
475,Gelochelidon nilotica,NA,Y,NA,Y,NA,NA
476,Geoffroyus geoffroyi,NA,Y,NA,NA,NA,NA
477,Geoffroyus simplex,NA,Y,NA,NA,NA,NA
478,Geokichla citrina,NA,NA,NA,Y,NA,NA
