,Species,Species_Syn,Protected,Endemic,Migratory,End_Islands,Notes
659,Lutra lutra,NA,Y,NA,NA,NA,NA
660,Lutra sumatrana,NA,Y,NA,NA,NA,NA
661,Lutrogale perspicillata,NA,Y,NA,NA,NA,NA
662,Lycocorax obiensis,NA,Y,Y,NA,MALUKU (PULAU OBI),https://www.iucnredlist.org/species/103728215/112746692
663,Lycocorax pyrrhopterus,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/103728181/112746357
664,Macaca maura,NA,Y,NA,NA,NA,NA
665,Macaca nigra,NA,Y,NA,NA,NA,NA
666,Macaca ochreata,NA,Y,NA,NA,NA,NA
667,Macaca pagensis,NA,Y,NA,NA,NA,NA
668,Macaca tonkeana,NA,Y,NA,NA,NA,NA
669,Macgregoria pulchra,NA,Y,NA,NA,NA,NA
670,Macheiramphus alcinus,NA,Y,NA,NA,NA,NA
671,Macrocephalon maleo,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22678576/194673255
672,Macrogalidia musschenbroekii,NA,Y,NA,NA,NA,NA
673,Macropygia macassariensis,NA,NA,Y,NA,"SULAWESI (PULAU SELAYAR, JAMPEA, KALAOTA)",https://www.iucnredlist.org/species/154625453/155255049
674,Macropygia timorlaoensis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/154625942/155255310
675,Macropygia unchall,NA,NA,NA,Y,NA,NA
676,Malacocincla perspicillata,NA,NA,Y,NA,KALIMANTAN (TENGAH),https://www.iucnredlist.org/species/22715827/94470581
677,Malayophython timoriensis,NA,Y,NA,NA,NA,NA
678,Malia grata,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22713260/94367910
679,Manis javanica,NA,Y,NA,NA,NA,NA
680,Manouria emys,NA,Y,NA,NA,NA,NA
681,Manucodia ater,NA,Y,NA,NA,NA,NA
682,Manucodia chalybatus,NA,Y,NA,NA,NA,NA
683,Manucodia jobiensis,NA,Y,NA,NA,NA,NA
684,Mareca penelope,NA,NA,NA,Y,NA,NA
685,Megacrex inepta,NA,Y,NA,NA,NA,NA
686,Megaloprepia formosa,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22691362/130178822
687,Megapodius bernsteinii,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22678593/195438398
688,Megapodius cumingii,NA,Y,NA,NA,NA,NA
689,Megapodius decollatus,NA,Y,NA,NA,NA,NA
